,Accuracy,F1,Model
0,0.6757679180887372,0.6569769096284853,Default algorithm
1,0.7627986348122867,0.7235601074702342,Pre-trained CAE
2,0.6466552315608919,0.6600341634204584,Default algorithm
3,0.6912521440823327,0.7117260606273077,Pre-trained CAE
4,0.6551724137931034,0.6147195737902822,Default algorithm
5,0.7672413793103449,0.7709793674239858,Pre-trained CAE
6,0.705244122965642,0.6529456599741157,Default algorithm
7,0.8137432188065099,0.8089934643006917,Pre-trained CAE
8,0.6731107205623902,0.6612304968410232,Default algorithm
9,0.6766256590509666,0.6651660890090084,Pre-trained CAE
