,Accuracy,F1,Model
0,0.592391304347826,0.5279977324263039,Default algorithm
1,0.6739130434782609,0.6220504176560748,Pre-trained CAE
2,0.510752688172043,0.4396891621529303,Default algorithm
3,0.5645161290322581,0.5538667226592923,Pre-trained CAE
4,0.6063829787234043,0.5719439971948933,Default algorithm
5,0.6968085106382979,0.6918606718951548,Pre-trained CAE
6,0.563953488372093,0.38911769991015266,Default algorithm
7,0.6627906976744186,0.5846554934900801,Pre-trained CAE
8,0.5668449197860963,0.5940564073957904,Default algorithm
9,0.6256684491978609,0.6451437263279369,Pre-trained CAE
